,id,name,category,weighted_score
0,1,PJ Fresh (224 Daniel Payne Drive),"Burgers, American, Sandwiches",4.570719240761526
1,2,J' ti`'z Smoothie-N-Coffee Bar,"Coffee and Tea, Breakfast and Brunch, Bubble Tea",4.570719240761526
2,3,Philly Fresh Cheesesteaks (541-B Graymont Ave),"American, Cheesesteak, Sandwiches, Alcohol",4.570719240761526
3,4,Papa Murphy's (1580 Montgomery Highway),Pizza,4.570719240761526
7,8,Little India,"Vegetarian, Asian, Asian Fusion, Chinese, Indian, Healthy",4.570719240761526
8,9,Captain D's (1284 Decatur Hwy),"Seafood, Fast Food, Fish and Chips, American",4.570719240761526
9,10,Cajun Bistro Express,"Desserts, Vegetarian, Coffee and Tea",4.570719240761526
10,11,The Ice Cream Shop ,"Desserts, Ice Cream + Frozen Yogurt",4.570719240761526
11,12, The Ice Cream Shop,"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts",4.570719240761526
12,13,Bunrise Burgers,"Burgers, Fast Food, American, Comfort Food, Diner, Chicken",4.570719240761526
14,15,The Imperial Indian,"Indian, Vegetarian, Pakistani, Chicken, Indian Curry",4.570719240761526
16,17,Exotic Wings &amp; Things,"Halal, Chicken, Wings",4.570719240761526
17,18,Papa Murphy's (1031 Montgomery Highway),Pizza,4.570719240761526
20,21,Magic City Nutrition,"Juice and Smoothies, Bubble Tea, Healthy, Fruit",4.570719240761526
21,22,Miami Fusion Cafe,"Caribbean, Cuban, Coffee and Tea, Breakfast and Brunch",4.570719240761526
22,23,Golden Temple Vegetarian Cafe,"Juice and Smoothies, Drinks, Comfort Food",4.570719240761526
23,24,Cinnabon baked at Flying J (224 Daniel Payne Drive),"Bakery, Desserts",4.570719240761526
24,25,Rjt Rae'z Wings &amp;Thiings Bbq,"Wings, Burgers, Sandwiches",4.570719240761526
26,27,Ruscelli's Food Truck at Mojo Pub,"Italian, Exclusive to Eats",4.648811561214255
27,28,Sunny &amp; Fine's Breakfast Burritos (541-B Graymont Ave),"Mexican, Breakfast and Brunch, Burritos",4.570719240761526
28,29,Hollywood Grill Food Truck #1 ,"Wings, Burgers, BBQ",4.570719240761526
29,30,Grilled Gold (541-B Graymont Ave),"American, Comfort Food",4.570719240761526
30,31,Hollywood Grill #2,"Black-owned, Burgers, Comfort Food, Wings, Exclusive to Eats",4.570719240761526
31,32,Allstar Diner,"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts, Exclusive to Eats",4.570719240761526
32,33,Wings R King Express,"Salads, Sandwich, Wings, Burgers, Seafood, Healthy, Black-owned",4.570719240761526
40,41,McAlister's Deli  (1801 4th Avenue South),"Sandwich, Salads, Healthy, Family Meals",4.648811561214255
42,43,Taco Bell (2300 Bessemer Rd.),"Burritos, Fast Food, Mexican",4.316862640429412
44,45,The Baisakhi Dhaba,"Indian, Pasta, Pizza",4.570719240761526
46,47,Silver Kati,"Indian, Vegetarian, Asian, Healthy",4.570719240761526
48,49,"Pasta La Vista, Baby","Italian, Pasta, Comfort Food",4.570719240761526
49,50,Taziki's Mediterranean Café (2737 Highway 280 South),"Healthy, Sandwich, Soup",4.570719240761526
50,51,China 1,"Chinese, Chicken, Noodles",4.570719240761526
51,52,Veggie Wonderland,"Indian, Vegetarian, Vegan, Indian Curry, Healthy",4.570719240761526
54,55,Sushi Village (Crestwood Blvd),"Sushi, Asian, Japanese",4.705996575317784
57,58,Yoe Express,"Chinese, Asian, Asian Fusion",4.570719240761526
58,59,Kumo Sushi &amp; Asian,"Sushi, Asian, Japanese",4.570719240761526
59,60,Chuck E. Cheese (500 Old Town Rd),Pizza,4.570719240761526
61,62,Moon Star Chinese Asian &amp; Wings,"Chinese, Asian",4.436458619806295
64,65,Biryani Bowl,"Indian, Vegetarian, Asian",4.570719240761526
67,68,Los Arcos Mexican Restaurant,"Mexican, Salads, Tacos",4.420071504800136
68,69,New China Town,"Chinese, Asian, Asian Fusion",4.420071504800136
70,71,Sitar,"Indian, Vegetarian, Asian, Healthy",4.420071504800136
75,76,Rock N Roll Sushi (UAB/Downtown),"Asian Fusion, Seafood, Salads",4.5916265471107245
77,78,The Baisakhi Dhaba,"Indian, Vegetarian, Asian",4.570719240761526
78,79,The Vegan Bowl,"Vegetarian, Vegan, Healthy",4.570719240761526
79,80,Vegans Vessel,"Indian, Vegetarian, Salads",4.570719240761526
80,81,Cafe Gunpowder,"Indian, Vegetarian, Asian",4.570719240761526
84,85,The Grill at Iron City,"Burgers, American, Sandwiches, Comfort Food, Southern",4.570719240761526
87,88,Bobby Carl's Table ,"American, Southern, Comfort Food",4.570719240761526
88,89,Sugar Daddys BBQ,"BBQ, American, Burgers",4.570719240761526
90,91,McFly's Bird Shoppe,"Burgers, American, New American",4.570719240761526
91,92,D-Icon Bar and Lounge,"Burgers, American, Sandwiches",4.570719240761526
92,93,Little Savannah Restaurant &amp; Bar,"Burgers, American, Sandwiches",4.570719240761526
93,94,Dram Whiskey Bar,"American, Burgers",4.570719240761526
95,96,Zulas,"Burgers, American, Sandwiches",4.570719240761526
96,97,The Southern Kitchen &amp; Bar,"BBQ, American, Burgers",4.570719240761526
97,98,Potatoe Potatohz Perfic Pizza ,"Pizza, American, Wings",4.570719240761526
98,99,Martys,"American, Burgers, Exclusive to Eats",4.570719240761526
99,100,KC Wings,"Wings, American, Fast Food",4.570719240761526
100,101,The Craft Burger (Downtown),"American, Burgers",4.570719240761526
101,102,Exotic Wings &amp; Things,"Comfort Food, American, Wings",4.570719240761526
102,103,10th Ave Deli Shark Fish and Chicken ,"Wings, American, Fast Food",4.570719240761526
103,104,Power Up! Breakfast Bowls (541-B Graymont Ave),"American, Breakfast and Brunch, Coffee and Tea",4.570719240761526
104,105,Hot Chx Nashville Hot Chicken (541-B Graymont Ave),"American, Chicken, Sandwiches",4.570719240761526
105,106,Taqueria La Herradura,"Mexican, Breakfast and Brunch, Soup",4.570719240761526
106,107,THE BACK PORCH (A CHEF RON'S PLACE),"Comfort Food, American, Burgers",4.570719240761526
107,108,Cabo Coastal Grill,"Mexican, Latin American, New Mexican",4.570719240761526
108,109,Breakfast Beauties (541-B Graymont Ave),"American, Sandwiches, Burgers",4.570719240761526
109,110, Don't Grill My Cheese ,"American, Deli, Sandwiches",4.570719240761526
111,112,Monita's Bakery,"Breakfast and Brunch, American, Coffee and Tea",4.570719240761526
112,113,The Perfect Catch Bar and Grill,"American, Sandwiches, Pasta",4.570719240761526
113,114,Tina and Ginas,"Sandwich, Fast Food, Healthy",4.570719240761526
114,115,D's Tamales Togo,"Wings, American, Fast Food, Mexican",4.570719240761526
115,116,On Tap Sports Cafe (Fultondale),"Burgers, American, Wings",4.570719240761526
117,118,Wingout Express (1806 AVENUE V),"Burgers, American, Sandwiches",4.570719240761526
118,119,Wings Around The Clock,"Comfort Food, American, Wings",4.570719240761526
120,121,WingOut Express (14 Green Springs Highway),"Comfort Food, American, Wings",4.570719240761526
123,124,Eugene's Hot Chicken,"American, Sandwich, Chicken",4.386327843483009
124,125,Big Bad Breakfast (1926 29th Ave S),"Breakfast and Brunch, American, Sandwiches",4.5916265471107245
128,129,Najis Pita Gourmet Restaurant,"Mediterranean, Greek, Vegetarian, Healthy",4.570719240761526
